Year,Death Numbers
1990,611176
1991,646055
1992,679578
1993,712498
1994,740505
1995,780786
1996,763595
1997,736917
1998,699197
1999,720752
2000,739971
2001,729416
2002,739674
2003,738929
2004,751290
2005,765509
2006,738189
2007,754908
2008,753583
2009,689045
2010,670054
2011,647812
2012,649299
2013,642672
2014,620618
2015,721082
2016,699121
2017,695144
2018,706900
2019,703434
