Year,Death Numbers
1990,1051
1991,1071
1992,1101
1993,1127
1994,1146
1995,1168
1996,1193
1997,1320
1998,1244
1999,1332
2000,1317
2001,1352
2002,1391
2003,1423
2004,1460
2005,1503
2006,1541
2007,1597
2008,1641
2009,1688
2010,1724
2011,1774
2012,1809
2013,1853
2014,1913
2015,1960
2016,2009
2017,2059
2018,2104
2019,2153
