Year,Death Numbers
1990,239
1991,254
1992,272
1993,288
1994,302
1995,309
1996,317
1997,328
1998,336
1999,346
2000,359
2001,372
2002,384
2003,400
2004,421
2005,431
2006,444
2007,457
2008,473
2009,492
2010,505
2011,489
2012,495
2013,505
2014,516
2015,532
2016,545
2017,561
2018,576
2019,587
