Year,Death Numbers
1990,22801
1991,23671
1992,25719
1993,26712
1994,25535
1995,25025
1996,25035
1997,24119
1998,23884
1999,23982
2000,23866
2001,24484
2002,24967
2003,25642
2004,25744
2005,26406
2006,27108
2007,27059
2008,27581
2009,27558
2010,27687
2011,27724
2012,27547
2013,26949
2014,27060
2015,27780
2016,27797
2017,27851
2018,27955
2019,27964
