Year,Death Numbers
1990,101148
1991,104493
1992,109892
1993,113304
1994,116021
1995,119194
1996,121525
1997,123920
1998,124342
1999,124657
2000,124946
2001,124763
2002,125512
2003,143308
2004,147219
2005,155382
2006,172899
2007,175473
2008,151890
2009,147301
2010,146638
2011,148068
2012,151884
2013,168589
2014,195837
2015,185518
2016,193082
2017,186297
2018,159476
2019,165314
