Year,Death Numbers
1990,93068
1991,94929
1992,96591
1993,97995
1994,100161
1995,101612
1996,101815
1997,102711
1998,104328
1999,104874
2000,105096
2001,104601
2002,104533
2003,105554
2004,108392
2005,108239
2006,108730
2007,109079
2008,108506
2009,107460
2010,108479
2011,108242
2012,107342
2013,108555
2014,108516
2015,108616
2016,107941
2017,106302
2018,104406
2019,102485
