Year,Death Numbers
1990,428530
1991,427734
1992,430777
1993,436035
1994,439214
1995,446080
1996,448458
1997,452399
1998,454721
1999,450716
2000,446816
2001,449132
2002,462141
2003,474696
2004,476111
2005,492517
2006,494973
2007,502721
2008,532389
2009,557323
2010,562312
2011,569132
2012,582941
2013,615039
2014,630613
2015,643395
2016,663359
2017,699067
2018,714733
2019,737402
