Year,Death Numbers
1990,42365
1991,44580
1992,46711
1993,49657
1994,52105
1995,54245
1996,56982
1997,58828
1998,60616
1999,62626
2000,63299
2001,64771
2002,65658
2003,66214
2004,66933
2005,67282
2006,68768
2007,68910
2008,67742
2009,67936
2010,68877
2011,68805
2012,67951
2013,72429
2014,73222
2015,66997
2016,66195
2017,67610
2018,64975
2019,63977
