Year,Death Numbers
1990,106081
1991,108930
1992,106864
1993,96832
1994,604144
1995,99826
1996,104177
1997,117119
1998,113996
1999,109094
2000,105748
2001,103613
2002,97394
2003,93018
2004,89021
2005,82879
2006,76725
2007,73037
2008,70673
2009,68449
2010,66143
2011,64902
2012,64283
2013,61541
2014,62600
2015,63707
2016,65188
2017,65579
2018,65926
2019,66525
