region,Year,Death Numbers
Americas,1990,6943886
Americas,1991,6989363
Americas,1992,7055046
Americas,1993,7232457
Americas,1994,7319020
Americas,1995,7418162
Americas,1996,7432536
Americas,1997,7426323
Americas,1998,7531328
Americas,1999,7635950
Americas,2000,7652893
Americas,2001,7735927
Americas,2002,7827861
Americas,2003,7877483
Americas,2004,7851334
Americas,2005,7926409
Americas,2006,7955227
Americas,2007,8001540
Americas,2008,8116241
Americas,2009,8216360
Americas,2010,8508600
Americas,2011,8421656
Americas,2012,8540351
Americas,2013,8705902
Americas,2014,8854165
Americas,2015,9051907
Americas,2016,9266150
Americas,2017,9395324
Americas,2018,9627317
Americas,2019,9869928
