Year,Death Numbers
1990,16342
1991,16813
1992,16359
1993,15819
1994,15094
1995,15310
1996,15611
1997,17939
1998,16082
1999,15983
2000,15746
2001,15350
2002,15999
2003,16983
2004,17199
2005,17056
2006,16494
2007,16162
2008,16633
2009,16745
2010,17118
2011,17751
2012,18239
2013,18791
2014,19550
2015,20333
2016,20822
2017,21295
2018,21738
2019,22235
