Year,Death Numbers
1990,2070995
1991,2091122
1992,2108831
1993,2174147
1994,2205940
1995,2241176
1996,2237662
1997,2230713
1998,2252337
1999,2291393
2000,2309875
2001,2333847
2002,2346880
2003,2349782
2004,2322785
2005,2352254
2006,2349965
2007,2348491
2008,2369178
2009,2372204
2010,2380973
2011,2424664
2012,2455725
2013,2496966
2014,2540733
2015,2602307
2016,2659917
2017,2683916
2018,2761982
2019,2834964
