Year,Death Numbers
1990,429
1991,434
1992,440
1993,446
1994,449
1995,455
1996,462
1997,466
1998,469
1999,472
2000,472
2001,478
2002,484
2003,489
2004,491
2005,495
2006,500
2007,502
2008,504
2009,508
2010,512
2011,514
2012,515
2013,517
2014,517
2015,516
2016,515
2017,514
2018,514
2019,513
