Year,Death Numbers
1990,74764
1991,80498
1992,89233
1993,99673
1994,110381
1995,123366
1996,134676
1997,145920
1998,158399
1999,170316
2000,180521
2001,186038
2002,191569
2003,195136
2004,196857
2005,194782
2006,191229
2007,186562
2008,182863
2009,174908
2010,161413
2011,149614
2012,140597
2013,135077
2014,132306
2015,130079
2016,128275
2017,126515
2018,123506
2019,123540
