Year,Death Numbers
1990,20910
1991,20868
1992,20908
1993,20958
1994,21042
1995,20981
1996,21392
1997,21325
1998,21411
1999,21340
2000,21133
2001,20930
2002,20728
2003,20486
2004,20119
2005,20370
2006,19980
2007,19743
2008,19605
2009,19485
2010,19263
2011,19293
2012,19489
2013,19564
2014,19540
2015,19728
2016,19782
2017,19832
2018,19937
2019,20187
