Year,Death Numbers
1990,9869
1991,10819
1992,12150
1993,13867
1994,15884
1995,18138
1996,20456
1997,22768
1998,25226
1999,27419
2000,29402
2001,30892
2002,31629
2003,30976
2004,28772
2005,26126
2006,24871
2007,23269
2008,22494
2009,21545
2010,21183
2011,20967
2012,20627
2013,20331
2014,20231
2015,20214
2016,20113
2017,20417
2018,20645
2019,20774
