Year,Death Numbers
1990,126225
1991,131015
1992,138039
1993,148681
1994,156441
1995,162841
1996,162332
1997,158438
1998,153781
1999,150646
2000,152182
2001,153407
2002,155852
2003,160082
2004,161685
2005,164620
2006,165595
2007,164206
2008,158331
2009,152836
2010,153434
2011,152964
2012,151791
2013,146776
2014,143017
2015,141161
2016,140423
2017,139158
2018,140230
2019,140298
