Year,Death Numbers
1990,195446
1991,192786
1992,187882
1993,186871
1994,181961
1995,179079
1996,175615
1997,171372
1998,168400
1999,164567
2000,161555
2001,158736
2002,161229
2003,155772
2004,157439
2005,157986
2006,159022
2007,160255
2008,161381
2009,162952
2010,163920
2011,166098
2012,168293
2013,171922
2014,174226
2015,185799
2016,179096
2017,181658
2018,183713
2019,186383
