Year,Death Numbers
1990,12411
1991,11764
1992,12277
1993,12911
1994,13275
1995,13459
1996,13675
1997,14140
1998,14418
1999,15065
2000,15209
2001,15464
2002,14881
2003,14426
2004,14241
2005,13802
2006,13908
2007,15467
2008,16859
2009,17794
2010,15998
2011,16916
2012,15701
2013,15892
2014,17230
2015,17671
2016,17765
2017,17977
2018,18244
2019,18689
