Year,Death Numbers
1990,83220
1991,83141
1992,86281
1993,89948
1994,96369
1995,96734
1996,95147
1997,93470
1998,97394
1999,130310
2000,103053
2001,107296
2002,111844
2003,119432
2004,115096
2005,116567
2006,122520
2007,128400
2008,134831
2009,137707
2010,135069
2011,138985
2012,145551
2013,147172
2014,151658
2015,155755
2016,160293
2017,164002
2018,169289
2019,181325
