Year,Death Numbers
1990,121744
1991,122671
1992,124111
1993,127645
1994,127110
1995,128177
1996,129894
1997,129786
1998,130837
1999,132767
2000,133061
2001,133303
2002,133875
2003,132825
2004,130018
2005,128571
2006,127544
2007,126316
2008,126743
2009,126864
2010,127478
2011,128437
2012,130668
2013,131396
2014,131849
2015,135231
2016,138326
2017,141161
2018,144189
2019,147407
