Year,Death Numbers
1990,25109
1991,25698
1992,26539
1993,27506
1994,27969
1995,29300
1996,29379
1997,27973
1998,29177
1999,28062
2000,27879
2001,28630
2002,27489
2003,27730
2004,28295
2005,28412
2006,27845
2007,28094
2008,28235
2009,28901
2010,27950
2011,29491
2012,28278
2013,29070
2014,28814
2015,27890
2016,29313
2017,32469
2018,31048
2019,31642
