Year,Death Numbers
1990,176
1991,186
1992,186
1993,182
1994,181
1995,187
1996,194
1997,211
1998,230
1999,241
2000,257
2001,262
2002,260
2003,260
2004,262
2005,264
2006,268
2007,277
2008,280
2009,289
2010,292
2011,299
2012,300
2013,304
2014,310
2015,319
2016,329
2017,336
2018,341
2019,345
