Year,Death Numbers
1990,74116
1991,76440
1992,77435
1993,77039
1994,76164
1995,71335
1996,69004
1997,70801
1998,72158
1999,70367
2000,71310
2001,72174
2002,71945
2003,72785
2004,73903
2005,76466
2006,76630
2007,76366
2008,77311
2009,79823
2010,80342
2011,80785
2012,81202
2013,82451
2014,83690
2015,85184
2016,87074
2017,88265
2018,91429
2019,94106
