Year,Death Numbers
1990,76119
1991,76915
1992,79162
1993,82704
1994,88190
1995,93824
1996,93050
1997,93030
1998,92919
1999,103152
2000,99842
2001,101430
2002,103946
2003,106554
2004,106620
2005,107797
2006,109840
2007,112051
2008,117770
2009,123231
2010,124812
2011,127773
2012,130325
2013,129170
2014,136206
2015,141576
2016,148769
2017,154120
2018,159025
2019,167733
