region,Year,Death Numbers
Asia,1990,23944327
Asia,1991,24220627
Asia,1992,24250886
Asia,1993,24286347
Asia,1994,24275400
Asia,1995,24515377
Asia,1996,24553837
Asia,1997,24826253
Asia,1998,25000302
Asia,1999,25135518
Asia,2000,25365136
Asia,2001,25561119
Asia,2002,25764095
Asia,2003,25783145
Asia,2004,26092978
Asia,2005,26240284
Asia,2006,26280151
Asia,2007,26450093
Asia,2008,27049288
Asia,2009,26945052
Asia,2010,27275744
Asia,2011,27634228
Asia,2012,27830961
Asia,2013,28128623
Asia,2014,28376625
Asia,2015,28638571
Asia,2016,29020898
Asia,2017,29416847
Asia,2018,29933699
Asia,2019,30480944
