Year,Death Numbers
1990,159568
1991,160620
1992,165612
1993,168287
1994,167943
1995,169977
1996,169404
1997,171165
1998,172002
1999,174644
2000,171859
2001,171342
2002,172406
2003,176822
2004,179293
2005,181166
2006,183886
2007,187115
2008,189666
2009,191754
2010,193213
2011,194391
2012,197025
2013,210420
2014,211303
2015,212173
2016,213925
2017,216404
2018,219071
2019,221658
