Year,Death Numbers
1990,27034
1991,28014
1992,28189
1993,30265
1994,30827
1995,30447
1996,31188
1997,31065
1998,30474
1999,29433
2000,28311
2001,28158
2002,28997
2003,29699
2004,31001
2005,32492
2006,32508
2007,32274
2008,31489
2009,29221
2010,28681
2011,29365
2012,29899
2013,30957
2014,31900
2015,32615
2016,32987
2017,33298
2018,34067
2019,34475
