Year,Death Numbers
1990,619239
1991,616761
1992,614111
1993,619555
1994,609628
1995,612335
1996,608293
1997,602666
1998,601934
1999,601326
2000,587863
2001,576668
2002,576990
2003,573850
2004,558489
2005,550434
2006,545069
2007,542683
2008,542060
2009,534100
2010,533902
2011,536254
2012,545195
2013,552426
2014,552072
2015,560444
2016,562592
2017,567174
2018,584317
2019,593736
