Year,Death Numbers
1990,80361
1991,80474
1992,80264
1993,79716
1994,78687
1995,78819
1996,78598
1997,77386
1998,76787
1999,76340
2000,75674
2001,74291
2002,74661
2003,74693
2004,73266
2005,73335
2006,72311
2007,72418
2008,72295
2009,73218
2010,73492
2011,74094
2012,75325
2013,75879
2014,76457
2015,78165
2016,78123
2017,77779
2018,78339
2019,79649
