Year,Death Numbers
1990,856
1991,854
1992,842
1993,863
1994,897
1995,935
1996,1004
1997,1085
1998,1167
1999,1216
2000,1271
2001,1247
2002,1222
2003,1227
2004,1256
2005,1264
2006,1288
2007,1293
2008,1298
2009,1348
2010,1411
2011,1441
2012,1456
2013,1505
2014,1580
2015,1656
2016,1700
2017,1751
2018,1838
2019,1902
