Year,Death Numbers
1990,912
1991,923
1992,931
1993,932
1994,924
1995,925
1996,918
1997,927
1998,934
1999,950
2000,955
2001,958
2002,963
2003,967
2004,973
2005,980
2006,990
2007,1007
2008,1019
2009,1030
2010,1043
2011,1053
2012,1060
2013,1069
2014,1079
2015,1083
2016,1093
2017,1103
2018,1112
2019,1124
