Year,Death Numbers
1990,157221
1991,159533
1992,162217
1993,165239
1994,168222
1995,364844
1996,316573
1997,318297
1998,320281
1999,322197
2000,323768
2001,325241
2002,326648
2003,183190
2004,187569
2005,191870
2006,196333
2007,201072
2008,204988
2009,208456
2010,211522
2011,214441
2012,216993
2013,218928
2014,220858
2015,222912
2016,226013
2017,228373
2018,231383
2019,233975
