Year,Death Numbers
1990,43766
1991,46678
1992,45825
1993,47127
1994,52776
1995,54135
1996,51111
1997,46812
1998,44794
1999,45703
2000,46297
2001,46287
2002,47998
2003,49201
2004,48595
2005,50579
2006,49417
2007,49443
2008,48753
2009,48603
2010,49584
2011,44477
2012,44394
2013,43143
2014,44976
2015,46729
2016,45980
2017,43619
2018,43326
2019,42483
