Year,Death Numbers
1990,28224
1991,30878
1992,38290
1993,36738
1994,34254
1995,40842
1996,30717
1997,30604
1998,29064
1999,28917
2000,29660
2001,31389
2002,32597
2003,32956
2004,33016
2005,34099
2006,33762
2007,35210
2008,33668
2009,33863
2010,34009
2011,34550
2012,34500
2013,34999
2014,35582
2015,36744
2016,36510
2017,36607
2018,37001
2019,37210
