Year,Death Numbers
1990,875
1991,878
1992,889
1993,891
1994,888
1995,878
1996,871
1997,856
1998,850
1999,851
2000,861
2001,883
2002,904
2003,919
2004,929
2005,930
2006,931
2007,925
2008,931
2009,947
2010,963
2011,968
2012,1002
2013,1068
2014,1111
2015,1151
2016,1249
2017,1287
2018,1321
2019,1347
