Year,Death Numbers
1990,87074
1991,88355
1992,90594
1993,92169
1994,94273
1995,96437
1996,100542
1997,104658
1998,108462
1999,111404
2000,114857
2001,116855
2002,118636
2003,120951
2004,121794
2005,122202
2006,127250
2007,128213
2008,129649
2009,129476
2010,130657
2011,131176
2012,131161
2013,133020
2014,133344
2015,135819
2016,136446
2017,138926
2018,139899
2019,141252
