Year,Death Numbers
1990,314701
1991,269337
1992,263575
1993,263135
1994,263819
1995,266115
1996,268907
1997,275149
1998,276706
1999,280786
2000,284336
2001,288698
2002,292585
2003,323662
2004,302021
2005,305843
2006,309043
2007,311804
2008,314601
2009,318682
2010,323450
2011,327069
2012,331820
2013,339028
2014,345586
2015,354581
2016,357870
2017,364481
2018,369268
2019,376080
