Year,Death Numbers
1990,28220
1991,29394
1992,29933
1993,30549
1994,31113
1995,31781
1996,32371
1997,33217
1998,36961
1999,36073
2000,37524
2001,39108
2002,40743
2003,42472
2004,44475
2005,46632
2006,48431
2007,49658
2008,50614
2009,51970
2010,52997
2011,53848
2012,55089
2013,56090
2014,56880
2015,57698
2016,59215
2017,60742
2018,62152
2019,63274
