Year,Death Numbers
1990,786
1991,758
1992,755
1993,750
1994,726
1995,696
1996,674
1997,655
1998,649
1999,665
2000,669
2001,669
2002,674
2003,672
2004,691
2005,670
2006,668
2007,673
2008,680
2009,688
2010,695
2011,695
2012,676
2013,691
2014,707
2015,717
2016,754
2017,759
2018,769
2019,775
