Year,Death Numbers
1990,701
1991,703
1992,717
1993,718
1994,722
1995,712
1996,714
1997,709
1998,716
1999,719
2000,729
2001,708
2002,723
2003,708
2004,717
2005,720
2006,719
2007,726
2008,752
2009,778
2010,798
2011,823
2012,846
2013,890
2014,910
2015,927
2016,939
2017,952
2018,968
2019,981
