Year,Death Numbers
1990,77196
1991,78559
1992,78717
1993,80020
1994,82324
1995,81572
1996,81639
1997,81595
1998,82007
1999,81961
2000,82295
2001,82823
2002,83508
2003,84468
2004,90948
2005,86309
2006,86570
2007,86730
2008,87610
2009,87535
2010,311693
2011,93105
2012,88346
2013,89403
2014,89865
2015,90735
2016,91866
2017,90365
2018,90845
2019,91652
