Year,Death Numbers
1990,14294
1991,14301
1992,14328
1993,14361
1994,14590
1995,14431
1996,15411
1997,15203
1998,15150
1999,15163
2000,15009
2001,15038
2002,14999
2003,14937
2004,14844
2005,14894
2006,14520
2007,15080
2008,15191
2009,14837
2010,14749
2011,14501
2012,14056
2013,14142
2014,14090
2015,13810
2016,13795
2017,13642
2018,13459
2019,13298
