Year,Death Numbers
1990,34085
1991,31189
1992,31850
1993,34136
1994,36046
1995,34780
1996,37687
1997,35570
1998,36123
1999,36217
2000,35723
2001,34987
2002,35367
2003,35285
2004,31182
2005,31594
2006,31320
2007,31018
2008,30849
2009,30867
2010,30807
2011,30709
2012,30218
2013,29652
2014,29200
2015,28918
2016,28817
2017,28257
2018,27878
2019,27883
